"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","ACS Static Group Member API","4","QUERY","38","0","","0"
"0","Test - ProvisioningRecord","10","","26","0","","0"
"0","Test - device","18","","74","0","","0"
"4","Test - SystemGroup API","4","","24","0","","0"
"1","ACS Service Orchestration Profile API","0","CREATE","1","30","","0"
"0","ACS Static Group Member API","0","CREATE","14","0","","0"
"1","","6","","21","0","","0"
"2","ACS orphan-device & assign-to-org API","0","CREATE","0","0","","0"
"0","ACS Static Group Member API","0","QUERY_COUNT","28","0","","0"
"0","","2","COMMON","4","4","","0"
"0","ACS Static Group Member API","0","DELETE","8","0","","0"
"0","ACS Service Orchestration Profile API","0","UPDATE","0","2","","0"
"0","ACS Service Orchestration Profile API","0","COMMON","0","2","","0"
