"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Test - get all the system groups with different params:None","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestSystemGroup","test_system_group","",""
"","2792","Test - delete record ","testcase.ACS","Thu May 29 02:16:07 CST 2025","failed","Thu May 29 02:16:09 CST 2025","TestConfigurationProfile","test_configuration_profile","",""
"","0","Test - get all the static group member count with different param:None","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","1501","Test - get all the static group member with different param:None","testcase.ACS","Thu May 29 02:18:29 CST 2025","passed","Thu May 29 02:18:31 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","1295","Test - get all the static group member with different param:None","testcase.ACS","Thu May 29 02:18:28 CST 2025","failed","Thu May 29 02:18:29 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","1371","Test - Query device count with different paramters:{'udpConnectionRequestAddr': '64.136.96.5:64083'}","testcase.ACS","Thu May 29 02:16:36 CST 2025","passed","Thu May 29 02:16:37 CST 2025","TestDevice","test_device","",""
"","1359","Test - test delete twice ","testcase.ACS","Thu May 29 02:16:04 CST 2025","failed","Thu May 29 02:16:05 CST 2025","TestConfigurationProfile","test_configuration_profile","",""
"","1388","Test - Query device with different paramters:{'limit': 3}","testcase.ACS","Thu May 29 02:16:59 CST 2025","passed","Thu May 29 02:17:01 CST 2025","TestDevice","test_device","",""
"","1315","Test - Query device count with different paramters:{}","testcase.ACS","Thu May 29 02:16:14 CST 2025","passed","Thu May 29 02:16:15 CST 2025","TestDevice","test_device","",""
"","1307","Test - Query device with different paramters:{'lastDiscoverTime': '2025-03-28T07:10:00.069Z'}","testcase.ACS","Thu May 29 02:16:55 CST 2025","failed","Thu May 29 02:16:57 CST 2025","TestDevice","test_device","",""
"","1405","Test - get provisioning record list","testcase.ACS","Thu May 29 02:18:18 CST 2025","failed","Thu May 29 02:18:20 CST 2025","TestProvisioningRecord","test_provisioning_record","",""
"","0","Negative Test - get all the static group member with different param:None","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","1270","Test - Query device count with different paramters:{'additionalHardwareVersion': ''}","testcase.ACS","Thu May 29 02:16:41 CST 2025","passed","Thu May 29 02:16:42 CST 2025","TestDevice","test_device","",""
"","1296","Test - get all the static group member with different param:None","testcase.ACS","Thu May 29 02:18:32 CST 2025","passed","Thu May 29 02:18:33 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","1306","Test - Query device with different paramters:{'lastBootTime': '2025-04-09T03:35:35.238Z'}","testcase.ACS","Thu May 29 02:16:54 CST 2025","failed","Thu May 29 02:16:55 CST 2025","TestDevice","test_device","",""
"","0","Test - get all the static group member count with different param:None","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","1310","Test - Get and compare the body structure","testcase.ACS","Thu May 29 02:17:16 CST 2025","failed","Thu May 29 02:17:17 CST 2025","TestDevice","test_device","",""
"","0","Test - create system group with special characters :{params}","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestSystemGroup","test_system_group","",""
"","0","Test - delete record ","testcase.ACS","Thu May 29 02:18:27 CST 2025","skipped","Thu May 29 02:18:27 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","1486","Test - Query count with different paramters:{'opMode': 'Managed ONT'}","testcase.ACS","Thu May 29 02:18:12 CST 2025","passed","Thu May 29 02:18:14 CST 2025","TestProvisioningRecord","test_provisioning_record","",""
"","0","Test - get the system groups count","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestSystemGroup","test_system_group","",""
"","0","Test - get all the system groups with different params:None","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestSystemGroup","test_system_group","",""
"","1344","Test - test the paramter are case-insensitive ","testcase.ACS","Thu May 29 02:17:18 CST 2025","failed","Thu May 29 02:17:20 CST 2025","TestDevice","test_device","",""
"","0","Test - create record & delete twice ","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestSystemGroup","test_system_group","",""
"","1641","Test - get list ","testcase.ACS","Thu May 29 02:15:57 CST 2025","passed","Thu May 29 02:15:59 CST 2025","TestAPI","test_api_swagger","",""
"","0","Test - get and filter","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestSystemGroup","test_system_group","",""
"","0","Test - get all the system groups with different params:None","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestSystemGroup","test_system_group","",""
"","1339","Test - Query device count with different paramters:{'softwareVersion': '25.2.0.0.28'}","testcase.ACS","Thu May 29 02:16:26 CST 2025","passed","Thu May 29 02:16:27 CST 2025","TestDevice","test_device","",""
"","13820","Test - create provisioning record and get id","testcase.ACS","Thu May 29 02:17:23 CST 2025","failed","Thu May 29 02:17:37 CST 2025","TestProvisioningRecord","test_provisioning_record","",""
"","0","Test - get all the system groups with different params:None","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestSystemGroup","test_system_group","",""
"","1286","Test - Query device count with different paramters:{'manufacturerOUI': 'E46CD1'}","testcase.ACS","Thu May 29 02:16:33 CST 2025","passed","Thu May 29 02:16:34 CST 2025","TestDevice","test_device","",""
"","1334","Test - Query device count with different paramters:{'ipAddress': '192.168.1.2'}","testcase.ACS","Thu May 29 02:16:20 CST 2025","passed","Thu May 29 02:16:22 CST 2025","TestDevice","test_device","",""
"","1557","Test - get provisioning record list","testcase.ACS","Thu May 29 02:18:21 CST 2025","failed","Thu May 29 02:18:23 CST 2025","TestProvisioningRecord","test_provisioning_record","",""
"","0","Test - create system group with special characters :{params}","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestSystemGroup","test_system_group","",""
"","2025","Test - create without paramters","testcase.ACS","Thu May 29 02:15:59 CST 2025","passed","Thu May 29 02:16:01 CST 2025","TestConfigurationProfile","test_configuration_profile","",""
"","0","Test - get all the static group member count with different param:None","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","0","Test - get the system groups count","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","1280","Test - get list ","testcase.ACS","Thu May 29 02:18:35 CST 2025","failed","Thu May 29 02:18:36 CST 2025","TestWorkflow","test_workflow","",""
"","0","Test - get all the static group member count with different param:None","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","2687","Test - Query device count","testcase.ACS","Thu May 29 02:16:11 CST 2025","failed","Thu May 29 02:16:14 CST 2025","TestDevice","test_device","",""
"","1278","Test - Query device count with different paramters:{'withDeviceCapabilityDetails': ''}","testcase.ACS","Thu May 29 02:16:38 CST 2025","passed","Thu May 29 02:16:40 CST 2025","TestDevice","test_device","",""
"","1415","Test - Query device count with different paramters:{'macAddress': 'e4:6c:d1:43:44:0e'}","testcase.ACS","Thu May 29 02:16:18 CST 2025","passed","Thu May 29 02:16:19 CST 2025","TestDevice","test_device","",""
"","1369","Test - Query device count with different paramters:{'lastDiscoverTime': '2025-03-28T07:10:00.069Z'}","testcase.ACS","Thu May 29 02:16:25 CST 2025","passed","Thu May 29 02:16:26 CST 2025","TestDevice","test_device","",""
"","1357","Test - Query device with different paramters:{'registrationId': 'reg123'}","testcase.ACS","Thu May 29 02:17:05 CST 2025","failed","Thu May 29 02:17:07 CST 2025","TestDevice","test_device","",""
"","13002","Test - create provisioning record and get id","testcase.ACS","Thu May 29 02:17:37 CST 2025","failed","Thu May 29 02:17:50 CST 2025","TestProvisioningRecord","test_provisioning_record","",""
"","0","Test - create with invalid body","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestSystemGroup","test_system_group","",""
"","1325","Test - Query device with different paramters:{'hardwareVersion': '3000307602'}","testcase.ACS","Thu May 29 02:16:58 CST 2025","passed","Thu May 29 02:16:59 CST 2025","TestDevice","test_device","",""
"","4158","Test - crud record ","testcase.ACS","Thu May 29 02:18:53 CST 2025","failed","Thu May 29 02:18:57 CST 2025","TestWorkflow","test_workflow","",""
"","2737","Test - test the paramter are case-insensitive ","testcase.ACS","Thu May 29 02:18:46 CST 2025","passed","Thu May 29 02:18:49 CST 2025","TestWorkflow","test_workflow","",""
"","0","Test - get all the static group member count with different param:None","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","1357","Test - Query count with different paramters:{'opMode': 'AE'}","testcase.ACS","Thu May 29 02:18:11 CST 2025","passed","Thu May 29 02:18:12 CST 2025","TestProvisioningRecord","test_provisioning_record","",""
"","1342","Test - get list ","testcase.ACS","Thu May 29 02:15:52 CST 2025","passed","Thu May 29 02:15:54 CST 2025","TestAPI","test_api_swagger","",""
"","0","Test - get all the static group member count with different param:None","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","1261","Test - Query device count with different paramters:{'$matcher': {'serialNumber': 'CXNK01A8D0C7'}}","testcase.ACS","Thu May 29 02:16:16 CST 2025","failed","Thu May 29 02:16:18 CST 2025","TestDevice","test_device","",""
"","1484","Test - Query device with different paramters:{'manufacturerOUI': 'E46CD1'}","testcase.ACS","Thu May 29 02:17:04 CST 2025","passed","Thu May 29 02:17:05 CST 2025","TestDevice","test_device","",""
"","0","Negative Test - get all the static group member with different param:None","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","0","Test - crud","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestSystemGroup","test_system_group","",""
"","2162","Test - create provisioning record and get id","testcase.ACS","Thu May 29 02:17:21 CST 2025","passed","Thu May 29 02:17:23 CST 2025","TestProvisioningRecord","test_provisioning_record","",""
"","0","Test - get all the system groups with paging","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestSystemGroup","test_system_group","",""
"","1721","Test - Query device with different paramters:{'additionalHardwareVersion': ''}","testcase.ACS","Thu May 29 02:17:13 CST 2025","passed","Thu May 29 02:17:14 CST 2025","TestDevice","test_device","",""
"","1487","Test - Query device with different paramters:{'createTime': '2025-03-28T07:10:00.069Z'}","testcase.ACS","Thu May 29 02:16:53 CST 2025","failed","Thu May 29 02:16:54 CST 2025","TestDevice","test_device","",""
"","0","Test - get all the static group member count with different param:None","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","0","Test - create static system group, create static group members , display the system group and check this group can't be deleted","testcase.ACS","Thu May 29 02:18:27 CST 2025","skipped","Thu May 29 02:18:27 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","1407","Test - Query device count with different paramters:{'hardwareSerialnumber': '632410013588'}","testcase.ACS","Thu May 29 02:16:42 CST 2025","passed","Thu May 29 02:16:44 CST 2025","TestDevice","test_device","",""
"","1442","Test - Query device count with different paramters:{'createTime': '2025-03-28T07:10:00.069Z'}","testcase.ACS","Thu May 29 02:16:22 CST 2025","passed","Thu May 29 02:16:23 CST 2025","TestDevice","test_device","",""
"","0","Test - get all the system groups with paging","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","1405","Test - crud record ","testcase.ACS","Thu May 29 02:16:09 CST 2025","broken","Thu May 29 02:16:11 CST 2025","TestConfigurationProfile","test_configuration_profile","",""
"","1395","Test - get provisioning record list","testcase.ACS","Thu May 29 02:18:20 CST 2025","failed","Thu May 29 02:18:21 CST 2025","TestProvisioningRecord","test_provisioning_record","",""
"","1263","Test - Query device with different paramters:{'serialNumber': 'CXNK01A8D0C7'}","testcase.ACS","Thu May 29 02:17:08 CST 2025","failed","Thu May 29 02:17:10 CST 2025","TestDevice","test_device","",""
"","1340","Test - Query device with different paramters:{'softwareVersion': '25.2.0.0.28'}","testcase.ACS","Thu May 29 02:16:57 CST 2025","failed","Thu May 29 02:16:58 CST 2025","TestDevice","test_device","",""
"","1596","Test - Query device with different paramters:{'$matcher': {'serialNumber': 'CXNK01A8D0C7'}}","testcase.ACS","Thu May 29 02:16:47 CST 2025","failed","Thu May 29 02:16:48 CST 2025","TestDevice","test_device","",""
"","0","Test - 1.can not delete group associated with group 2.forceDelete","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestSystemGroup","test_system_group","",""
"","1374","Test - Query device count with different paramters:{'registrationId': 'reg123'}","testcase.ACS","Thu May 29 02:16:34 CST 2025","passed","Thu May 29 02:16:36 CST 2025","TestDevice","test_device","",""
"","1321","Test - get provisioning record list","testcase.ACS","Thu May 29 02:18:23 CST 2025","failed","Thu May 29 02:18:24 CST 2025","TestProvisioningRecord","test_provisioning_record","",""
"","1469","Test - ae","testcase.ACS","Thu May 29 02:17:20 CST 2025","failed","Thu May 29 02:17:21 CST 2025","TestProvisioningRecord","test_provisioning_record","",""
"","1311","Test - Query device count with different paramters:{'orderBy': 'createTime'}","testcase.ACS","Thu May 29 02:16:32 CST 2025","passed","Thu May 29 02:16:33 CST 2025","TestDevice","test_device","",""
"","1366","Test - get list ","testcase.ACS","Thu May 29 02:18:36 CST 2025","failed","Thu May 29 02:18:38 CST 2025","TestWorkflow","test_workflow","",""
"","0","Negative Test - get all the static group member with different param:None","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","1720","Test - Query device with different paramters:{'orderBy': 'createTime'}","testcase.ACS","Thu May 29 02:17:02 CST 2025","passed","Thu May 29 02:17:04 CST 2025","TestDevice","test_device","",""
"","5871","Test - create provisioning record and get id","testcase.ACS","Thu May 29 02:17:50 CST 2025","failed","Thu May 29 02:17:56 CST 2025","TestProvisioningRecord","test_provisioning_record","",""
"","1443","Test - Query device count with different paramters:{'skip': 10}","testcase.ACS","Thu May 29 02:16:30 CST 2025","passed","Thu May 29 02:16:32 CST 2025","TestDevice","test_device","",""
"","1397","Test - Query device count with different paramters:{'modelName': 'GS4229E'}","testcase.ACS","Thu May 29 02:16:19 CST 2025","passed","Thu May 29 02:16:20 CST 2025","TestDevice","test_device","",""
"","9044","Test - create provisioning record and get id","testcase.ACS","Thu May 29 02:17:56 CST 2025","failed","Thu May 29 02:18:05 CST 2025","TestProvisioningRecord","test_provisioning_record","",""
"","1308","Test - get all the static group member with different param:None","testcase.ACS","Thu May 29 02:18:27 CST 2025","passed","Thu May 29 02:18:28 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","1389","Test - Query device with different paramters:{'udpConnectionRequestAddr': '64.136.96.5:64083'}","testcase.ACS","Thu May 29 02:17:07 CST 2025","failed","Thu May 29 02:17:08 CST 2025","TestDevice","test_device","",""
"","0","Test - create static system group, create static group members , display the system group and check this group can't be deleted","testcase.ACS","Thu May 29 02:18:35 CST 2025","skipped","Thu May 29 02:18:35 CST 2025","TestSystemGroup","test_system_group","",""
"","1705","Test - Query device with different paramters:{'withDeviceCapabilityDetails': ''}","testcase.ACS","Thu May 29 02:17:10 CST 2025","passed","Thu May 29 02:17:11 CST 2025","TestDevice","test_device","",""
"","0","Test - create static group member","testcase.ACS","Thu May 29 02:18:27 CST 2025","skipped","Thu May 29 02:18:27 CST 2025","TestStaticGroupMember","test_static_group_member","",""
"","1435","Test - Query device with different paramters:{'skip': 10}","testcase.ACS","Thu May 29 02:17:01 CST 2025","passed","Thu May 29 02:17:02 CST 2025","TestDevice","test_device","",""
"","1490","Test - get provisioning record list","testcase.ACS","Thu May 29 02:18:15 CST 2025","passed","Thu May 29 02:18:17 CST 2025","TestProvisioningRecord","test_provisioning_record","",""
"","1309","Test - Query device count with different paramters:{'limit': 3}","testcase.ACS","Thu May 29 02:16:29 CST 2025","passed","Thu May 29 02:16:30 CST 2025","TestDevice","test_device","",""
"","1564","Test - Query device with different paramters:{'modelName': 'GS4229E'}","testcase.ACS","Thu May 29 02:16:50 CST 2025","passed","Thu May 29 02:16:51 CST 2025","TestDevice","test_device","",""
"","1296","Test - get provisioning record list","testcase.ACS","Thu May 29 02:18:25 CST 2025","passed","Thu May 29 02:18:27 CST 2025","TestProvisioningRecord","test_provisioning_record","",""
"","1309","Test - Query device with different paramters:{'deviceId': 'CXNK01A8D0C7'}","testcase.ACS","Thu May 29 02:17:11 CST 2025","failed","Thu May 29 02:17:13 CST 2025","TestDevice","test_device","",""
"","1436","Test - Query device count with different paramters:{'serialNumber': 'CXNK01A8D0C7'}","testcase.ACS","Thu May 29 02:16:37 CST 2025","passed","Thu May 29 02:16:38 CST 2025","TestDevice","test_device","",""
"","5699","Test - create provisioning record and get id","testcase.ACS","Thu May 29 02:18:05 CST 2025","failed","Thu May 29 02:18:11 CST 2025","TestProvisioningRecord","test_provisioning_record","",""
"","8348","Test - create record & delete twice ","testcase.ACS","Thu May 29 02:18:38 CST 2025","failed","Thu May 29 02:18:46 CST 2025","TestWorkflow","test_workflow","",""
"","1341","Test - Query device with different paramters:{'macAddress': 'e4:6c:d1:43:44:0e'}","testcase.ACS","Thu May 29 02:16:48 CST 2025","failed","Thu May 29 02:16:50 CST 2025","TestDevice","test_device","",""
"","1591","Test - Query device with different paramters:{}","testcase.ACS","Thu May 29 02:16:44 CST 2025","passed","Thu May 29 02:16:45 CST 2025","TestDevice","test_device","",""
"","1784","Test - get list ","testcase.ACS","Thu May 29 02:15:55 CST 2025","passed","Thu May 29 02:15:57 CST 2025","TestAPI","test_api_swagger","",""
"","1294","Test - test the paramter are case-insensitive ","testcase.ACS","Thu May 29 02:16:02 CST 2025","failed","Thu May 29 02:16:04 CST 2025","TestConfigurationProfile","test_configuration_profile","",""
