"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","562","Test - create group and filter","testcase.ACS","Thu May 22 18:04:40 CST 2025","passed","Thu May 22 18:04:40 CST 2025","TestSystemGroup","test_system_group","",""
"","534","Test - can not delete group associated with group","testcase.ACS","Thu May 22 18:04:27 CST 2025","failed","Thu May 22 18:04:28 CST 2025","TestSystemGroup","test_system_group","",""
"","496","Test - get all the system groups count with different params","testcase.ACS","Thu May 22 18:04:37 CST 2025","passed","Thu May 22 18:04:37 CST 2025","TestSystemGroup","test_system_group","",""
"","1110","Test - get all the system groups count with different params","testcase.ACS","Thu May 22 18:04:37 CST 2025","passed","Thu May 22 18:04:38 CST 2025","TestSystemGroup","test_system_group","",""
"","2559","Test - create provisioning record and get id","testcase.ACS","Thu May 22 18:04:31 CST 2025","failed","Thu May 22 18:04:34 CST 2025","TestSystemGroup","test_system_group","",""
"","1484","Test - Create with wrong tpe","testcase.ACS","Thu May 22 18:04:28 CST 2025","passed","Thu May 22 18:04:29 CST 2025","TestSystemGroup","test_system_group","",""
"","1360","Test - get all the system groups","testcase.ACS","Thu May 22 18:04:41 CST 2025","passed","Thu May 22 18:04:42 CST 2025","TestSystemGroup","test_system_group","",""
"","1562","Test - Create with wrong tpe","testcase.ACS","Thu May 22 18:04:29 CST 2025","passed","Thu May 22 18:04:31 CST 2025","TestSystemGroup","test_system_group","",""
"","554","Test - get all the system groups with different params:None","testcase.ACS","Thu May 22 18:04:39 CST 2025","passed","Thu May 22 18:04:40 CST 2025","TestSystemGroup","test_system_group","",""
"","3197","Test - create provisioning record and get id","testcase.ACS","Thu May 22 18:04:34 CST 2025","failed","Thu May 22 18:04:37 CST 2025","TestSystemGroup","test_system_group","",""
"","570","Test - create group and filter","testcase.ACS","Thu May 22 18:04:40 CST 2025","passed","Thu May 22 18:04:41 CST 2025","TestSystemGroup","test_system_group","",""
"","1415","Test - get all the system groups","testcase.ACS","Thu May 22 18:04:42 CST 2025","passed","Thu May 22 18:04:43 CST 2025","TestSystemGroup","test_system_group","",""
"","507","Test - get all the system groups with different params:None","testcase.ACS","Thu May 22 18:04:38 CST 2025","passed","Thu May 22 18:04:39 CST 2025","TestSystemGroup","test_system_group","",""
"","501","Test - can not delete group associated with group","testcase.ACS","Thu May 22 18:04:27 CST 2025","passed","Thu May 22 18:04:27 CST 2025","TestSystemGroup","test_system_group","",""
