"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","600","Test - Query device count with different paramters:{'registrationId': 'reg123'}","testcase.ACS","Thu May 22 18:34:36 CST 2025","passed","Thu May 22 18:34:37 CST 2025","TestDevice","test_device","",""
"","0","Test - crud record ","testcase.ACS","Thu May 22 18:34:09 CST 2025","broken","Thu May 22 18:34:09 CST 2025","TestACSAPI","test_api_acs","",""
"","1091","Test - Query device count","testcase.ACS","Thu May 22 18:34:16 CST 2025","passed","Thu May 22 18:34:17 CST 2025","TestDevice","test_device","",""
"","506","Test - Query device count with different paramters:{'hardwareVersion': '3000307602'}","testcase.ACS","Thu May 22 18:34:22 CST 2025","passed","Thu May 22 18:34:22 CST 2025","TestDevice","test_device","",""
"","502","Test - Query device with different paramters:{'hardwareSerialnumber': '632410013588'}","testcase.ACS","Thu May 22 18:34:51 CST 2025","failed","Thu May 22 18:34:52 CST 2025","TestDevice","test_device","",""
"","987","Test - delete record ","testcase.ACS","Thu May 22 18:34:13 CST 2025","passed","Thu May 22 18:34:14 CST 2025","TestConfigurationProfile","test_configuration_profile","",""
"","559","Test - Query device with different paramters:{'registrationId': 'reg123'}","testcase.ACS","Thu May 22 18:35:02 CST 2025","passed","Thu May 22 18:35:03 CST 2025","TestDevice","test_device","",""
"","558","Test - Query device count with different paramters:{'softwareVersion': '25.2.0.0.28'}","testcase.ACS","Thu May 22 18:34:33 CST 2025","passed","Thu May 22 18:34:34 CST 2025","TestDevice","test_device","",""
"","531","Test - Query device count with different paramters:{'skip': 10}","testcase.ACS","Thu May 22 18:34:35 CST 2025","passed","Thu May 22 18:34:35 CST 2025","TestDevice","test_device","",""
"","1029","Test - test the paramter are case-insensitive ","testcase.ACS","Thu May 22 18:35:10 CST 2025","passed","Thu May 22 18:35:11 CST 2025","TestDevice","test_device","",""
"","577","Test - Query device with different paramters:{'serialNumber': 'CXNK01A8D0C7'}","testcase.ACS","Thu May 22 18:35:04 CST 2025","passed","Thu May 22 18:35:04 CST 2025","TestDevice","test_device","",""
"","0","Test - get list ","testcase.ACS","Thu May 22 18:34:09 CST 2025","skipped","Thu May 22 18:34:09 CST 2025","TestAPI","test_api_swagger","",""
